filename,width,height,class,xmin,ymin,xmax,ymax
seq0509_jpg.rf.26aba01d147e7942b5ea6ff23e38b29d.jpg,4908,3264,RBC,3536,924,3686,1049
seq0509_jpg.rf.26aba01d147e7942b5ea6ff23e38b29d.jpg,4908,3264,RBC,243,1135,389,1278
seq0509_jpg.rf.26aba01d147e7942b5ea6ff23e38b29d.jpg,4908,3264,WBC,2557,1735,2732,1881
seq0509_jpg.rf.26aba01d147e7942b5ea6ff23e38b29d.jpg,4908,3264,WBC,2343,2128,2571,2360
seq0402_jpg.rf.22790057ec217779f22586b5975909e6.jpg,4908,3264,RBC,2154,888,2282,1020
seq0402_jpg.rf.22790057ec217779f22586b5975909e6.jpg,4908,3264,RBC,2027,1876,2188,2029
seq0402_jpg.rf.22790057ec217779f22586b5975909e6.jpg,4908,3264,WBC,3188,2271,3317,2410
seq0402_jpg.rf.22790057ec217779f22586b5975909e6.jpg,4908,3264,S-RBC,4559,393,4668,483
seq0402_jpg.rf.22790057ec217779f22586b5975909e6.jpg,4908,3264,WBC,4737,2195,4832,2302

seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,RBC,1861,1113,2019,1228
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,RBC,895,413,1051,539
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,WBC,1098,1843,1237,1976
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,RBC,179,2357,319,2480
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,RBC,2413,2234,2545,2370
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,WBC,2955,2144,3113,2283
seq0375_jpg.rf.e0a507b991bcda3be10d33dc07202120.jpg,4908,3264,WBC,4794,2712,4908,2847
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,EPC,1182,401,1416,632
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,S-RBC,373,2810,529,2997
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,WBC,595,2436,751,2588
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,WBC,2169,2423,2321,2571
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,S-RBC,3247,2584,3390,2741
seq0536_jpg.rf.d83126713ab01583b37248bfd4873741.jpg,4908,3264,RBC,1829,3093,1995,3232
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,RBC,467,19,599,153
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,RBC,1108,2760,1273,2874
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,RBC,2570,2503,2722,2643
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,WBC,302,1729,462,1883
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,S-RBC,3865,831,3999,971
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,RBC,4430,1677,4588,1803
seq0356_jpg.rf.0de024fad082368da095bd4744db0ca9.jpg,4908,3264,RBC,4550,1726,4699,1854
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,L-WBC,4355,445,4645,682
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,L-WBC,4132,289,4430,566
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,WBC,532,1801,670,1948
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,RBC,739,1,870,88
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,S-RBC,1070,437,1215,563
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,RBC,741,2708,870,2839
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,WBC,2187,2718,2330,2851
seq0353_jpg.rf.2f2dd6bba86e36a0217ff40c0c62f2f6.jpg,4908,3264,RBC,3166,1365,3318,1494
seq0472_jpg.rf.61784b363a091ee8fb5e34d502f19684.jpg,4908,3264,L-WBC,340,1008,584,1237
seq0472_jpg.rf.61784b363a091ee8fb5e34d502f19684.jpg,4908,3264,S-RBC,2320,2167,2455,2302
seq0472_jpg.rf.61784b363a091ee8fb5e34d502f19684.jpg,4908,3264,S-RBC,1684,2487,1814,2646
seq0472_jpg.rf.61784b363a091ee8fb5e34d502f19684.jpg,4908,3264,RBC,4478,1228,4608,1375
seq0472_jpg.rf.61784b363a091ee8fb5e34d502f19684.jpg,4908,3264,WBC,4770,2328,4908,2464

seq0508_jpg.rf.660541330e0a81845035f050f48cb76b.jpg,4908,3264,EPC,2704,1376,3120,1752
seq0508_jpg.rf.660541330e0a81845035f050f48cb76b.jpg,4908,3264,WBC,2712,720,2924,880
seq0508_jpg.rf.660541330e0a81845035f050f48cb76b.jpg,4908,3264,WBC,4180,824,4320,972
seq0508_jpg.rf.660541330e0a81845035f050f48cb76b.jpg,4908,3264,WBC,4460,2124,4592,2268
